Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real
2012,9,201209,Melbourne,Sydney,Melbourne - Sydney,104.9,145.9119843
2012,9,201209,Melbourne,Newcastle,Melbourne - Newcastle,108.0,150.2239686
2012,10,201210,Melbourne,Gold Coast,Melbourne - Gold Coast,169.9,235.8611765
2012,10,201210,Melbourne,Mildura,Melbourne - Mildura,269.92,374.7124706
2012,10,201210,Melbourne,Perth,Melbourne - Perth,299.9,416.3317647
2012,10,201210,Melbourne,Sydney,Melbourne - Sydney,109.9,152.5670588
2012,10,201210,Melbourne,Newcastle,Melbourne - Newcastle,138.0,191.5764706
2012,11,201211,Melbourne,Gold Coast,Melbourne - Gold Coast,149.9,208.0964706
2012,11,201211,Melbourne,Mildura,Melbourne - Mildura,230.32,319.7383529
2012,11,201211,Melbourne,Perth,Melbourne - Perth,284.9,395.5082353
2012,11,201211,Melbourne,Sydney,Melbourne - Sydney,99.95,138.7541176
2012,11,201211,Melbourne,Newcastle,Melbourne - Newcastle,138.0,191.5764706
2012,12,201212,Melbourne,Gold Coast,Melbourne - Gold Coast,474.9,659.2729412
2012,12,201212,Melbourne,Mildura,Melbourne - Mildura,232.0,322.0705882
2012,12,201212,Melbourne,Perth,Melbourne - Perth,508.0,705.2235294
2012,12,201212,Melbourne,Sydney,Melbourne - Sydney,199.95,277.5776471
2012,12,201212,Melbourne,Newcastle,Melbourne - Newcastle,178.0,247.1058824
2013,1,201301,Melbourne,Gold Coast,Melbourne - Gold Coast,159.9,221.1117188
2013,1,201301,Melbourne,Mildura,Melbourne - Mildura,230.32,318.489375
2013,1,201301,Melbourne,Perth,Melbourne - Perth,284.9,393.9632813
2013,1,201301,Melbourne,Sydney,Melbourne - Sydney,90.0,124.453125
2013,1,201301,Melbourne,Newcastle,Melbourne - Newcastle,148.0,204.65625
2013,2,201302,Melbourne,Gold Coast,Melbourne - Gold Coast,84.95,117.4699219
2013,2,201302,Melbourne,Mildura,Melbourne - Mildura,218.0,301.453125
2013,2,201302,Melbourne,Perth,Melbourne - Perth,284.9,393.9632813
2013,2,201302,Melbourne,Sydney,Melbourne - Sydney,99.95,138.2121094
2013,2,201302,Melbourne,Newcastle,Melbourne - Newcastle,168.0,232.3125
2013,3,201303,Melbourne,Gold Coast,Melbourne - Gold Coast,380.0,525.46875
2013,3,201303,Melbourne,Mildura,Melbourne - Mildura,243.0,336.0234375
2013,3,201303,Melbourne,Perth,Melbourne - Perth,415.0,573.8671875
2013,3,201303,Melbourne,Sydney,Melbourne - Sydney,155.0,214.3359375
2013,3,201303,Melbourne,Newcastle,Melbourne - Newcastle,114.0,157.640625
2013,4,201304,Melbourne,Gold Coast,Melbourne - Gold Coast,149.9,206.4770428
2013,4,201304,Melbourne,Mildura,Melbourne - Mildura,200.0,275.4863813
2013,4,201304,Melbourne,Perth,Melbourne - Perth,304.9,419.9789883
2013,4,201304,Melbourne,Sydney,Melbourne - Sydney,94.9,130.7182879
2013,4,201304,Melbourne,Newcastle,Melbourne - Newcastle,148.0,203.8599222
2013,5,201305,Melbourne,Gold Coast,Melbourne - Gold Coast,159.9,220.2513619
2013,5,201305,Melbourne,Mildura,Melbourne - Mildura,187.0,257.5797665
2013,5,201305,Melbourne,Perth,Melbourne - Perth,239.9,330.4459144
2013,5,201305,Melbourne,Sydney,Melbourne - Sydney,109.9,151.3797665
2013,5,201305,Melbourne,Newcastle,Melbourne - Newcastle,134.0,184.5758755
2013,6,201306,Melbourne,Gold Coast,Melbourne - Gold Coast,179.9,247.8
2013,6,201306,Melbourne,Mildura,Melbourne - Mildura,198.0,272.7315175
2013,6,201306,Melbourne,Perth,Melbourne - Perth,299.9,413.0918288
2013,6,201306,Melbourne,Sydney,Melbourne - Sydney,109.9,151.3797665
2013,6,201306,Melbourne,Newcastle,Melbourne - Newcastle,118.0,162.536965
2013,7,201307,Melbourne,Gold Coast,Melbourne - Gold Coast,214.9,292.5946154
2013,7,201307,Melbourne,Mildura,Melbourne - Mildura,205.0,279.1153846
2013,7,201307,Melbourne,Perth,Melbourne - Perth,284.9,387.9023077
2013,7,201307,Melbourne,Sydney,Melbourne - Sydney,214.9,292.5946154
2013,7,201307,Melbourne,Newcastle,Melbourne - Newcastle,174.0,236.9076923
2013,8,201308,Melbourne,Gold Coast,Melbourne - Gold Coast,129.9,176.8638462
2013,8,201308,Melbourne,Mildura,Melbourne - Mildura,198.0,269.5846154
2013,8,201308,Melbourne,Perth,Melbourne - Perth,304.9,415.1330769
2013,8,201308,Melbourne,Sydney,Melbourne - Sydney,119.9,163.2484615
2013,8,201308,Melbourne,Newcastle,Melbourne - Newcastle,168.0,228.7384615
2013,9,201309,Melbourne,Gold Coast,Melbourne - Gold Coast,218.0,296.8153846
2013,9,201309,Melbourne,Mildura,Melbourne - Mildura,232.01,315.8905385
